"First_pokemon","Second_pokemon","Winner","First_Name","First_Type 1","First_Type 2","First_HP","First_Attack","First_Defense","First_Sp. Atk","First_Sp. Def","First_Speed","First_Generation","First_Legendary","Second_Name","Second_Type 1","Second_Type 2","Second_HP","Second_Attack","Second_Defense","Second_Sp. Atk","Second_Sp. Def","Second_Speed","Second_Generation","Second_Legendary"
406,134,406,"Luvdisc","Water","",43,30,55,40,65,97,3,False,"Jynx","Ice","Psychic",65,50,35,115,95,95,1,False
592,503,503,"Mega Audino","Normal","Fairy",103,60,126,80,126,50,5,False,"Drapion","Poison","Dark",70,90,110,60,75,95,4,False
564,242,242,"Patrat","Normal","",45,55,39,35,39,42,5,False,"Remoraid","Water","",35,65,35,65,35,65,2,False
579,242,242,"Pidove","Normal","Flying",50,55,50,36,30,43,5,False,"Remoraid","Water","",35,65,35,65,35,65,2,False
200,719,200,"Azumarill","Water","Fairy",100,50,80,60,80,50,2,False,"Chespin","Grass","",56,61,65,48,45,38,6,False
376,135,376,"Baltoy","Ground","Psychic",40,40,55,40,70,55,3,False,"Electabuzz","Electric","",65,83,57,95,85,105,1,False
76,441,441,"Bellsprout","Grass","Poison",50,75,35,70,30,40,1,False,"Empoleon","Water","Steel",84,86,88,111,101,60,4,False
667,645,645,"Elgyem","Psychic","",55,55,55,85,55,30,5,False,"Vanillish","Ice","",51,65,65,80,75,59,5,False
475,400,475,"Buneary","Normal","",55,66,44,44,56,85,4,False,"Sealeo","Ice","Water",90,60,70,75,70,45,3,False
3,737,737,"Venusaur","Grass","Poison",80,82,83,100,100,80,1,False,"Pyroar","Fire","Normal",86,68,72,109,66,106,6,False
435,45,435,"Torterra","Grass","Ground",95,109,105,75,85,56,4,False,"Jigglypuff","Normal","Fairy",115,45,20,45,25,20,1,False
231,146,146,"Shuckle","Bug","Rock",20,10,230,10,230,5,2,False,"Vaporeon","Water","",130,65,60,110,95,65,1,False
510,715,715,"Snover","Grass","Ice",60,62,50,62,60,40,4,False,"Keldeo Resolute Forme","Water","Fighting",91,72,90,129,90,108,5,False
456,260,260,"Shieldon","Rock","Steel",30,42,118,42,88,30,4,False,"Magby","Fire","",45,75,37,70,55,83,2,False
164,751,751,"Mega Mewtwo X","Psychic","Fighting",106,190,100,154,100,130,1,True,"Aegislash Blade Forme","Steel","Ghost",60,150,50,150,50,60,6,False
424,754,424,"Groudon","Ground","",100,150,140,100,90,90,3,True,"Aromatisse","Fairy","",101,72,72,99,89,29,6,False
258,779,258,"Smoochum","Ice","Psychic",45,30,15,85,65,65,2,False,"Phantump","Ghost","Grass",43,70,48,50,60,38,6,False
360,208,208,"Trapinch","Ground","",45,100,45,45,45,10,3,False,"Sunflora","Grass","",75,75,55,105,85,30,2,False
723,646,646,"Braixen","Fire","",59,59,58,90,70,73,6,False,"Vanilluxe","Ice","",71,95,85,110,95,79,5,False
384,533,533,"Castform","Normal","",70,70,70,70,70,70,3,False,"Heat Rotom","Electric","Fire",50,65,107,105,107,86,4,False
734,673,673,"Spewpa","Bug","",45,22,60,27,30,29,6,False,"Fraxure","Dragon","",66,117,70,40,50,67,5,False
141,721,141,"Gyarados","Water","Flying",95,125,79,60,100,81,1,False,"Chesnaught","Grass","Fighting",88,107,122,74,75,64,6,False
244,741,244,"Delibird","Ice","Flying",45,55,45,65,45,75,2,False,"Skiddo","Grass","",66,65,48,62,57,52,6,False
509,217,509,"Mantyke","Water","Flying",45,20,50,60,120,50,4,False,"Unown","Psychic","",48,72,48,72,48,48,2,False
633,44,633,"Zoroark","Dark","",60,105,60,120,60,105,5,False,"Ninetales","Fire","",73,76,75,81,100,100,1,False
595,719,595,"Conkeldurr","Fighting","",105,140,95,55,65,45,5,False,"Chespin","Grass","",56,61,65,48,45,38,6,False
606,40,606,"Scolipede","Bug","Poison",60,100,89,55,69,112,5,False,"Nidoking","Poison","Ground",81,102,77,85,75,85,1,False
368,598,368,"Zangoose","Normal","",73,115,60,60,60,90,3,False,"Seismitoad","Water","Ground",105,95,75,85,75,74,5,False
746,584,746,"Espurr","Psychic","",62,48,54,63,60,68,6,False,"Roggenrola","Rock","",55,75,85,25,25,15,5,False
350,187,350,"Mega Sharpedo","Water","Dark",70,140,70,110,65,105,3,False,"Pichu","Electric","",20,40,15,35,35,60,2,False
303,198,303,"Pelipper","Water","Flying",60,50,100,85,70,65,3,False,"Bellossom","Grass","",75,80,95,90,100,50,2,False
169,701,701,"Meganium","Grass","",80,82,100,83,100,80,2,False,"Terrakion","Rock","Fighting",91,129,90,72,90,108,5,True
569,115,115,"Purrloin","Dark","",41,50,37,50,37,66,5,False,"Hitmonlee","Fighting","",50,120,53,35,110,87,1,False
231,172,172,"Shuckle","Bug","Rock",20,10,230,10,230,5,2,False,"Typhlosion","Fire","",78,84,78,109,85,100,2,False
71,440,71,"Alakazam","Psychic","",55,50,45,135,95,120,1,False,"Prinplup","Water","",64,66,68,81,76,50,4,False
659,610,610,"Ferroseed","Grass","Steel",44,50,91,24,86,10,5,False,"Lilligant","Grass","",70,60,75,110,75,90,5,False
570,557,557,"Liepard","Dark","",64,88,50,88,50,106,5,False,"Serperior","Grass","",75,75,95,75,95,113,5,False
712,40,712,"Kyurem Black Kyurem","Dragon","Ice",125,170,100,120,90,95,5,True,"Nidoking","Poison","Ground",81,102,77,85,75,85,1,False
451,352,451,"Luxray","Electric","",80,120,79,95,79,70,4,False,"Wailord","Water","",170,90,45,90,45,60,3,False
661,95,95,"Klink","Steel","",40,55,70,45,60,30,5,False,"Dewgong","Water","Ice",90,70,80,70,95,70,1,False
540,4,540,"Azelf","Psychic","",75,125,70,125,70,115,4,True,"Mega Venusaur","Grass","Poison",80,100,123,122,120,80,1,False
130,319,130,"Staryu","Water","",30,45,55,70,55,85,1,False,"Loudred","Normal","",84,71,43,71,43,48,3,False
125,418,418,"Mega Kangaskhan","Normal","",105,125,100,60,100,100,1,False,"Latias","Dragon","Psychic",80,80,90,110,130,110,3,True
309,276,276,"Masquerain","Bug","Flying",70,60,62,80,82,60,3,False,"Mega Sceptile","Grass","Dragon",70,110,75,145,85,145,3,False
579,612,612,"Pidove","Normal","Flying",50,55,50,36,30,43,5,False,"Sandile","Ground","Dark",50,72,35,35,35,65,5,False
716,80,80,"Meloetta Aria Forme","Normal","Psychic",100,77,77,128,128,90,5,False,"Tentacruel","Water","Poison",80,70,65,80,120,100,1,False
482,535,535,"Chingling","Psychic","",45,30,50,65,50,45,4,False,"Frost Rotom","Electric","Ice",50,65,107,105,107,86,4,False
376,37,37,"Baltoy","Ground","Psychic",40,40,55,40,70,55,3,False,"Nidoqueen","Poison","Ground",90,92,87,75,85,76,1,False
6,328,328,"Charmeleon","Fire","",58,64,58,80,65,80,1,False,"Mega Sableye","Dark","Ghost",50,85,125,85,115,20,3,False
343,159,159,"Volbeat","Bug","",65,73,55,47,75,85,3,False,"Moltres","Fire","Flying",90,100,90,125,85,90,1,True
509,574,574,"Mantyke","Water","Flying",45,20,50,60,120,50,4,False,"Simisear","Fire","",75,98,63,98,63,101,5,False
546,530,546,"Giratina Origin Forme","Ghost","Dragon",150,120,100,120,100,90,4,True,"Dusknoir","Ghost","",45,100,135,65,135,45,4,False
486,229,229,"Bronzong","Steel","Psychic",67,89,116,79,116,33,4,False,"Scizor","Bug","Steel",70,130,100,55,80,65,2,False
686,213,213,"Pawniard","Dark","Steel",45,85,70,40,40,60,5,False,"Umbreon","Dark","",95,65,110,60,130,65,2,False
304,386,386,"Ralts","Psychic","Fairy",28,25,25,45,35,40,3,False,"Shuppet","Ghost","",44,75,35,63,33,45,3,False
514,732,732,"Magnezone","Electric","Steel",70,70,115,130,90,60,4,False,"Talonflame","Fire","Flying",78,81,71,74,69,126,6,False
161,757,161,"Dragonair","Dragon","",61,84,65,70,70,70,1,False,"Inkay","Dark","Psychic",53,54,53,37,46,45,6,False
150,265,265,"Omanyte","Rock","Water",35,40,100,90,55,35,1,False,"Suicune","Water","",100,75,115,90,115,85,2,True
436,701,701,"Chimchar","Fire","",44,58,44,58,44,61,4,False,"Terrakion","Rock","Fighting",91,129,90,72,90,108,5,True
221,265,265,"Forretress","Bug","Steel",75,90,140,60,60,40,2,False,"Suicune","Water","",100,75,115,90,115,85,2,True
436,603,603,"Chimchar","Fire","",44,58,44,58,44,61,4,False,"Leavanny","Bug","Grass",75,103,80,70,80,92,5,False
242,365,242,"Remoraid","Water","",35,65,35,65,35,65,2,False,"Swablu","Normal","Flying",45,40,60,40,75,50,3,False
792,251,792,"Noivern","Flying","Dragon",85,70,80,97,80,123,6,False,"Phanpy","Ground","",90,60,60,40,40,40,2,False
607,295,607,"Cottonee","Grass","Fairy",40,27,60,37,50,66,5,False,"Lombre","Water","Grass",60,50,50,60,70,50,3,False
439,209,209,"Piplup","Water","",53,51,53,61,56,40,4,False,"Yanma","Bug","Flying",65,65,45,75,45,95,2,False
657,360,657,"Joltik","Bug","Electric",50,47,50,57,50,65,5,False,"Trapinch","Ground","",45,100,45,45,45,10,3,False
436,40,40,"Chimchar","Fire","",44,58,44,58,44,61,4,False,"Nidoking","Poison","Ground",81,102,77,85,75,85,1,False
325,408,408,"Skitty","Normal","",50,45,45,35,35,50,3,False,"Shelgon","Dragon","",65,95,100,60,50,50,3,False
472,89,472,"Ambipom","Normal","",75,100,66,60,66,115,4,False,"Magnemite","Electric","Steel",25,35,70,95,55,45,1,False
71,777,71,"Alakazam","Psychic","",55,50,45,135,95,120,1,False,"Goodra","Dragon","",90,100,70,110,150,80,6,False
47,615,47,"Zubat","Poison","Flying",40,45,35,30,40,55,1,False,"Darumaka","Fire","",70,90,45,15,45,50,5,False
5,670,5,"Charmander","Fire","",39,52,43,60,50,65,1,False,"Lampent","Ghost","Fire",60,40,60,95,60,55,5,False
793,314,314,"Xerneas","Fairy","",126,131,95,131,98,99,6,True,"Slaking","Normal","",150,160,100,95,65,100,3,False
195,461,195,"Flaaffy","Electric","",70,55,55,80,60,45,2,False,"Wormadam Trash Cloak","Bug","Steel",60,69,95,69,95,36,4,False
493,568,493,"Gabite","Dragon","Ground",68,90,65,50,55,82,4,False,"Stoutland","Normal","",85,110,90,45,90,80,5,False
400,341,341,"Sealeo","Ice","Water",90,60,70,75,70,45,3,False,"Plusle","Electric","",60,50,40,85,75,95,3,False
63,297,63,"","Fighting","",65,105,60,60,70,95,1,False,"Seedot","Grass","",40,40,50,30,30,30,3,False
541,446,541,"Dialga","Steel","Dragon",100,120,120,150,100,90,4,True,"Bibarel","Normal","Water",79,85,60,55,60,71,4,False
141,152,141,"Gyarados","Water","Flying",95,125,79,60,100,81,1,False,"Kabuto","Rock","Water",30,80,90,55,45,55,1,False
54,115,115,"Venonat","Bug","Poison",60,55,50,40,55,45,1,False,"Hitmonlee","Fighting","",50,120,53,35,110,87,1,False
378,161,161,"Lileep","Rock","Grass",66,41,77,61,87,23,3,False,"Dragonair","Dragon","",61,84,65,70,70,70,1,False
224,316,316,"Steelix","Steel","Ground",75,85,200,55,65,30,2,False,"Ninjask","Bug","Flying",61,90,45,50,50,160,3,False
311,398,398,"Breloom","Grass","Fighting",60,130,80,60,60,70,3,False,"Mega Glalie","Ice","",80,120,80,120,80,100,3,False
298,35,298,"Nuzleaf","Grass","Dark",70,70,40,60,40,60,3,False,"Nidoran","Poison","",55,47,52,40,40,41,1,False
356,132,356,"Torkoal","Fire","",70,85,140,85,70,20,3,False,"Mr. Mime","Psychic","Fairy",40,45,65,100,120,90,1,False
103,370,103,"Mega Gengar","Ghost","Poison",60,65,80,170,95,130,1,False,"Lunatone","Rock","Psychic",70,55,65,95,85,70,3,False
503,453,503,"Drapion","Poison","Dark",70,90,110,60,75,95,4,False,"Roserade","Grass","Poison",60,70,65,125,105,90,4,False
600,598,600,"Sawk","Fighting","",75,125,75,30,75,85,5,False,"Seismitoad","Water","Ground",105,95,75,85,75,74,5,False
445,45,445,"Bidoof","Normal","",59,45,40,35,40,31,4,False,"Jigglypuff","Normal","Fairy",115,45,20,45,25,20,1,False
360,548,548,"Trapinch","Ground","",45,100,45,45,45,10,3,False,"Phione","Water","",80,80,80,80,80,80,4,False
303,133,133,"Pelipper","Water","Flying",60,50,100,85,70,65,3,False,"Scyther","Bug","Flying",70,110,80,55,80,105,1,False
51,331,51,"Vileplume","Grass","Poison",75,80,85,110,90,50,1,False,"Aron","Steel","Rock",50,70,100,40,40,30,3,False
171,559,171,"Quilava","Fire","",58,64,58,80,65,80,2,False,"Pignite","Fire","Fighting",90,93,55,70,55,55,5,False
758,129,758,"Malamar","Dark","Psychic",86,92,88,68,75,73,6,False,"Seaking","Water","",80,92,65,65,80,68,1,False
6,255,6,"Charmeleon","Fire","",58,64,58,80,65,80,1,False,"Smeargle","Normal","",55,20,35,20,45,75,2,False
698,154,154,"Larvesta","Bug","Fire",55,85,55,50,55,60,5,False,"Aerodactyl","Rock","Flying",80,105,65,60,75,130,1,False
92,491,491,"Doduo","Normal","Flying",35,85,45,35,35,75,1,False,"Spiritomb","Ghost","Dark",50,92,108,92,108,35,4,False
381,73,381,"Armaldo","Rock","Bug",75,125,100,70,80,45,3,False,"Machop","Fighting","",70,80,50,35,35,35,1,False
354,271,271,"Camerupt","Fire","Ground",70,100,70,105,75,40,3,False,"Ho-oh","Fire","Flying",106,130,90,110,154,90,2,True
219,49,219,"Girafarig","Normal","Psychic",70,80,65,90,65,85,2,False,"Oddish","Grass","Poison",45,50,55,75,65,30,1,False
736,244,244,"Litleo","Fire","Normal",62,50,58,73,54,72,6,False,"Delibird","Ice","Flying",45,55,45,65,45,75,2,False
683,245,245,"Druddigon","Dragon","",77,120,90,60,90,48,5,False,"Mantine","Water","Flying",65,40,70,80,140,70,2,False
533,452,533,"Heat Rotom","Electric","Fire",50,65,107,105,107,86,4,False,"Budew","Grass","Poison",40,30,35,50,70,55,4,False
200,588,588,"Azumarill","Water","Fairy",100,50,80,60,80,50,2,False,"Swoobat","Psychic","Flying",67,57,55,77,55,114,5,False
403,636,403,"Huntail","Water","",55,104,105,94,75,52,3,False,"Gothita","Psychic","",45,30,50,55,65,45,5,False
56,561,561,"Diglett","Ground","",10,55,25,35,45,95,1,False,"Oshawott","Water","",55,55,45,63,45,45,5,False
54,119,119,"Venonat","Bug","Poison",60,55,50,40,55,45,1,False,"Weezing","Poison","",65,90,120,85,70,60,1,False
629,141,629,"Archeops","Rock","Flying",75,140,65,112,65,110,5,False,"Gyarados","Water","Flying",95,125,79,60,100,81,1,False
547,779,547,"Cresselia","Psychic","",120,70,120,75,130,85,4,False,"Phantump","Ghost","Grass",43,70,48,50,60,38,6,False
380,547,547,"Anorith","Rock","Bug",45,95,50,40,50,75,3,False,"Cresselia","Psychic","",120,70,120,75,130,85,4,False
407,307,307,"Bagon","Dragon","",45,75,60,40,30,50,3,False,"Mega Gardevoir","Psychic","Fairy",68,85,65,165,135,100,3,False
153,559,153,"Kabutops","Rock","Water",60,115,105,65,70,80,1,False,"Pignite","Fire","Fighting",90,93,55,70,55,55,5,False
306,268,306,"Gardevoir","Psychic","Fairy",68,65,65,125,115,80,3,False,"Tyranitar","Rock","Dark",100,134,110,95,100,61,2,False
89,382,89,"Magnemite","Electric","Steel",25,35,70,95,55,45,1,False,"Feebas","Water","",20,15,20,10,55,80,3,False
54,32,32,"Venonat","Bug","Poison",60,55,50,40,55,45,1,False,"Raichu","Electric","",60,90,55,90,80,110,1,False
172,745,745,"Typhlosion","Fire","",78,84,78,109,85,100,2,False,"Furfrou","Normal","",75,80,60,65,90,102,6,False
16,110,110,"Butterfree","Bug","Flying",60,45,50,90,80,70,1,False,"Electrode","Electric","",60,50,70,80,80,140,1,False
537,734,537,"Mow Rotom","Electric","Grass",50,65,107,105,107,86,4,False,"Spewpa","Bug","",45,22,60,27,30,29,6,False
278,94,278,"Combusken","Fire","Fighting",60,85,60,85,60,55,3,False,"Seel","Water","",65,45,55,45,70,45,1,False
342,643,643,"Minun","Electric","",60,40,50,75,85,95,3,False,"Swanna","Water","Flying",75,87,63,87,63,98,5,False
435,165,165,"Torterra","Grass","Ground",95,109,105,75,85,56,4,False,"Mega Mewtwo Y","Psychic","",106,150,70,194,120,140,1,True
638,691,691,"Gothitelle","Psychic","",70,55,95,95,110,65,5,False,"Vullaby","Dark","Flying",70,55,75,45,65,60,5,False
734,718,718,"Spewpa","Bug","",45,22,60,27,30,29,6,False,"Genesect","Bug","Steel",71,120,95,120,95,99,5,False
298,781,298,"Nuzleaf","Grass","Dark",70,70,40,60,40,60,3,False,"Pumpkaboo Average Size","Ghost","Grass",49,66,70,44,55,51,6,False
42,113,42,"Clefable","Fairy","",95,70,73,95,90,60,1,False,"Cubone","Ground","",50,50,95,40,50,35,1,False
97,316,97,"Muk","Poison","",105,105,75,65,100,50,1,False,"Ninjask","Bug","Flying",61,90,45,50,50,160,3,False
416,397,397,"Regice","Ice","",80,50,100,100,200,50,3,True,"Glalie","Ice","",80,80,80,80,80,80,3,False
483,400,483,"Stunky","Poison","Dark",63,63,47,41,41,74,4,False,"Sealeo","Ice","Water",90,60,70,75,70,45,3,False
275,155,155,"Sceptile","Grass","",70,85,65,105,85,120,3,False,"Mega Aerodactyl","Rock","Flying",80,135,85,70,95,150,1,False
154,461,154,"Aerodactyl","Rock","Flying",80,105,65,60,75,130,1,False,"Wormadam Trash Cloak","Bug","Steel",60,69,95,69,95,36,4,False
309,4,4,"Masquerain","Bug","Flying",70,60,62,80,82,60,3,False,"Mega Venusaur","Grass","Poison",80,100,123,122,120,80,1,False
539,30,30,"Mesprit","Psychic","",80,105,105,105,105,80,4,True,"Arbok","Poison","",60,85,69,65,79,80,1,False
545,266,545,"Giratina Altered Forme","Ghost","Dragon",150,100,120,100,120,90,4,True,"Larvitar","Rock","Ground",50,64,50,45,50,41,2,False
283,340,340,"Swampert","Water","Ground",100,110,90,85,90,60,3,False,"Mega Manectric","Electric","",70,75,80,135,80,135,3,False
232,254,254,"Heracross","Bug","Fighting",80,125,75,40,95,85,2,False,"Stantler","Normal","",73,95,62,85,65,85,2,False
384,427,427,"Castform","Normal","",70,70,70,70,70,70,3,False,"Mega Rayquaza","Dragon","Flying",105,180,100,180,100,115,3,True
161,781,161,"Dragonair","Dragon","",61,84,65,70,70,70,1,False,"Pumpkaboo Average Size","Ghost","Grass",49,66,70,44,55,51,6,False
496,420,496,"Munchlax","Normal","",135,85,40,40,85,5,4,False,"Latios","Dragon","Psychic",80,90,80,130,110,110,3,True
268,159,159,"Tyranitar","Rock","Dark",100,134,110,95,100,61,2,False,"Moltres","Fire","Flying",90,100,90,125,85,90,1,True
473,593,473,"Drifloon","Ghost","Flying",90,50,34,60,44,70,4,False,"Timburr","Fighting","",75,80,55,25,35,35,5,False
550,475,550,"Darkrai","Dark","",70,90,90,135,90,125,4,True,"Buneary","Normal","",55,66,44,44,56,85,4,False
199,785,785,"Marill","Water","Fairy",70,20,50,20,50,40,2,False,"Gourgeist Average Size","Ghost","Grass",65,90,122,58,75,84,6,False
385,732,732,"Kecleon","Normal","",60,90,70,60,120,40,3,False,"Talonflame","Fire","Flying",78,81,71,74,69,126,6,False
488,196,488,"Mime Jr.","Psychic","Fairy",20,25,45,70,90,60,4,False,"Ampharos","Electric","",90,75,85,115,90,55,2,False
30,587,30,"Arbok","Poison","",60,85,69,65,79,80,1,False,"Woobat","Psychic","Flying",55,45,43,55,43,72,5,False
36,494,494,"Nidorina","Poison","",70,62,67,55,55,56,1,False,"Garchomp","Dragon","Ground",108,130,95,80,85,102,4,False
513,184,184,"Weavile","Dark","Ice",70,120,65,45,85,125,4,False,"Crobat","Poison","Flying",85,90,80,70,80,130,2,False
129,106,129,"Seaking","Water","",80,92,65,65,80,68,1,False,"Hypno","Psychic","",85,73,70,73,115,67,1,False
6,604,6,"Charmeleon","Fire","",58,64,58,80,65,80,1,False,"Venipede","Bug","Poison",30,45,59,30,39,57,5,False
137,315,137,"Pinsir","Bug","",65,125,100,55,70,85,1,False,"Nincada","Bug","Ground",31,45,90,30,30,40,3,False
83,509,509,"Golem","Rock","Ground",80,120,130,55,65,45,1,False,"Mantyke","Water","Flying",45,20,50,60,120,50,4,False
585,534,585,"Boldore","Rock","",70,105,105,50,40,20,5,False,"Wash Rotom","Electric","Water",50,65,107,105,107,86,4,False
743,57,57,"Pancham","Fighting","",67,82,62,46,48,43,6,False,"Dugtrio","Ground","",35,80,50,50,70,120,1,False
220,723,723,"Pineco","Bug","",50,65,90,35,35,15,2,False,"Braixen","Fire","",59,59,58,90,70,73,6,False
764,665,764,"Clawitzer","Water","",71,73,88,120,89,59,6,False,"Eelektrik","Electric","",65,85,70,75,70,40,5,False
708,439,708,"Zekrom","Dragon","Electric",100,150,120,120,100,90,5,True,"Piplup","Water","",53,51,53,61,56,40,4,False
28,545,545,"Fearow","Normal","Flying",65,90,65,61,61,100,1,False,"Giratina Altered Forme","Ghost","Dragon",150,100,120,100,120,90,4,True
23,796,23,"Pidgeot","Normal","Flying",83,80,75,70,70,101,1,False,"Diancie","Rock","Fairy",50,100,150,100,150,50,6,True
698,147,147,"Larvesta","Bug","Fire",55,85,55,50,55,60,5,False,"Jolteon","Electric","",65,65,60,110,95,130,1,False
306,635,635,"Gardevoir","Psychic","Fairy",68,65,65,125,115,80,3,False,"Cinccino","Normal","",75,95,60,65,60,115,5,False
158,666,158,"Zapdos","Electric","Flying",90,90,85,125,90,100,1,True,"Eelektross","Electric","",85,115,80,105,80,50,5,False
55,750,750,"Venomoth","Bug","Poison",70,65,60,90,75,90,1,False,"Doublade","Steel","Ghost",59,110,150,45,49,35,6,False
513,439,513,"Weavile","Dark","Ice",70,120,65,45,85,125,4,False,"Piplup","Water","",53,51,53,61,56,40,4,False
769,264,264,"Amaura","Rock","Ice",77,59,50,67,63,46,6,False,"Entei","Fire","",115,115,85,90,75,100,2,True
232,499,499,"Heracross","Bug","Fighting",80,125,75,40,95,85,2,False,"Mega Lucario","Fighting","Steel",70,145,88,140,70,112,4,False
23,623,23,"Pidgeot","Normal","Flying",83,80,75,70,70,101,1,False,"Sigilyph","Psychic","Flying",72,58,80,103,80,97,5,False
97,250,250,"Muk","Poison","",105,105,75,65,100,50,1,False,"Kingdra","Water","Dragon",75,95,95,95,95,85,2,False
324,544,544,"Nosepass","Rock","",30,45,135,45,90,30,3,False,"Regigigas","Normal","",110,160,110,80,110,100,4,True
517,10,517,"Tangrowth","Grass","",100,100,125,110,50,50,4,False,"Squirtle","Water","",44,48,65,50,64,43,1,False
